iter	Passed	Remaining
409	3731	14472
410	3748	14493
411	3768	14524
412	3787	14554
413	3813	14608
414	3823	14602
415	3833	14595
416	3841	14581
417	3847	14561
418	3850	14530
419	3859	14519
420	3866	14502
421	3874	14487
422	3878	14460
423	3882	14430
424	3884	14397
425	3894	14391
426	3900	14370
427	3904	14341
428	3908	14314
429	3913	14287
430	3925	14288
431	3932	14273
432	3935	14243
433	3941	14222
434	3949	14208
435	3955	14190
436	3959	14160
437	3961	14128
438	3968	14110
439	3973	14088
440	3976	14056
441	3981	14034
442	3987	14016
443	3993	13994
444	3997	13969
445	4000	13937
446	4002	13905
447	4006	13879
448	4012	13858
449	4014	13829
450	4017	13799
451	4024	13783
452	4026	13751
453	4029	13721
454	4031	13690
455	4037	13669
456	4040	13640
457	4043	13612
458	4047	13587
459	4054	13572
460	4061	13557
461	4070	13549
462	4074	13527
463	4083	13517
464	4085	13487
465	4099	13493
466	4103	13470
467	4114	13468
468	4126	13469
469	4133	13457
470	4139	13438
471	4148	13429
472	4151	13401
473	4154	13375
474	4162	13363
475	4169	13347
476	4172	13322
477	4175	13294
478	4182	13279
479	4186	13256
480	4188	13228
481	4192	13202
482	4198	13187
483	4202	13162
484	4205	13135
485	4214	13129
486	4219	13107
487	4223	13086
488	4227	13063
489	4234	13049
490	4240	13032
491	4251	13029
492	4255	13007
493	4262	12993
494	4265	12967
495	4272	12956
496	4276	12932
497	4279	12906
498	4282	12882
499	4288	12866
500	4295	12851
501	4298	12826
502	4304	12810
503	4312	12801
504	4316	12777
505	4320	12757
506	4325	12737
507	4334	12730
508	4340	12713
509	4342	12687
510	4356	12692
511	4359	12669
512	4364	12652
513	4373	12643
514	4382	12637
515	4390	12627
516	4393	12603
517	4396	12579
518	4402	12562
519	4407	12543
520	4410	12519
521	4413	12496
522	4424	12495
523	4432	12484
524	4435	12461
525	4444	12455
526	4450	12440
527	4454	12418
528	4459	12399
529	4467	12391
530	4475	12380
531	4478	12357
532	4482	12336
533	4487	12320
534	4496	12312
535	4508	12315
536	4515	12301
537	4518	12277
538	4524	12264
539	4531	12252
540	4537	12235
541	4541	12215
542	4546	12200
543	4552	12184
544	4555	12162
545	4559	12141
546	4565	12128
547	4568	12104
548	4571	12083
549	4579	12073
550	4582	12051
551	4585	12029
552	4590	12012
553	4599	12004
554	4606	11994
555	4609	11971
556	4613	11951
557	4621	11943
558	4624	11920
559	4627	11899
560	4635	11891
561	4638	11869
562	4642	11848
563	4649	11838
564	4652	11815
565	4655	11796
566	4660	11777
567	4665	11761
568	4668	11741
569	4671	11718
570	4684	11724
571	4688	11704
572	4694	11691
573	4696	11668
574	4699	11647
575	4702	11625
576	4710	11616
577	4713	11595
578	4715	11573
579	4740	11606
580	4743	11585
581	4746	11563
582	4752	11551
583	4755	11530
584	4759	11512
585	4773	11517
586	4775	11496
587	4782	11484
588	4784	11462
589	4787	11441
590	4790	11420
591	4795	11405
592	4799	11387
593	4802	11368
594	4807	11352
595	4811	11333
596	4813	11312
597	4816	11292
598	4831	11300
599	4836	11284
600	4841	11269
601	4851	11265
602	4854	11246
603	4857	11227
604	4867	11223
605	4872	11207
606	4878	11196
607	4882	11178
608	4886	11160
609	4898	11162
610	4903	11147
611	4910	11137
612	4917	11126
613	4922	11111
614	4926	11094
615	4934	11085
616	4947	11089
617	4953	11076
618	4961	11068
619	4964	11050
620	4969	11035
621	4974	11021
622	4992	11035
623	4995	11016
624	4998	10996
625	5001	10977
626	5005	10960
627	5007	10939
628	5011	10922
629	5018	10913
630	5025	10902
631	5031	10891
632	5034	10873
633	5037	10854
634	5040	10835
635	5045	10820
636	5048	10803
637	5054	10789
638	5062	10783
639	5066	10765
640	5072	10755
641	5075	10736
642	5078	10717
643	5084	10706
644	5088	10689
645	5090	10669
646	5100	10666
647	5103	10648
648	5109	10635
649	5116	10626
650	5121	10612
651	5127	10600
652	5130	10582
653	5135	10570
654	5141	10557
655	5144	10538
656	5148	10524
657	5154	10512
658	5157	10494
659	5161	10479
660	5167	10467
661	5170	10449
662	5173	10432
663	5179	10421
664	5190	10419
665	5197	10410
666	5204	10401
667	5209	10386
668	5211	10368
669	5216	10354
670	5222	10342
671	5224	10325
672	5230	10314
673	5235	10300
674	5238	10283
675	5246	10276
676	5249	10258
677	5251	10240
678	5255	10225
679	5266	10222
680	5276	10219
681	5281	10205
682	5288	10196
683	5291	10181
684	5295	10165
685	5300	10152
686	5308	10144
687	5316	10138
688	5320	10123
689	5326	10113
690	5333	10102
691	5341	10097
692	5354	10099
693	5388	10139
694	5446	10226
695	5467	10243
696	5481	10246
697	5501	10262
698	5512	10259
699	5535	10281
700	5549	10283
701	5558	10276
702	5565	10268
703	5579	10271
704	5593	10274
705	5613	10288
706	5627	10291
707	5636	10285
708	5663	10311
709	5683	10327
710	5692	10321
711	5700	10312
712	5717	10319
713	5724	10310
714	5742	10319
715	5758	10326
716	5779	10341
717	5790	10338
718	5798	10331
719	5801	10313
720	5809	10305
721	5815	10294
722	5823	10285
723	5830	10276
724	5843	10276
725	5846	10258
726	5857	10256
727	5859	10238
728	5862	10221
729	5876	10223
730	5891	10227
731	5894	10211
732	5909	10215
733	5914	10200
734	5917	10184
735	5925	10177
736	5931	10164
737	5933	10146
738	5941	10137
739	5944	10121
740	5946	10103
741	5948	10085
742	5961	10085
743	5971	10081
744	5974	10064
745	5977	10048
746	5981	10034
747	5987	10021
748	5990	10004
749	5994	9990
750	5999	9977
751	6001	9960
752	6004	9943
753	6016	9941
754	6027	9939
755	6031	9925
756	6034	9908
757	6047	9908
758	6050	9892
759	6060	9888
760	6072	9887
761	6075	9871
762	6079	9856
763	6086	9846
764	6089	9831
765	6170	9940
766	6173	9924
767	6176	9908
768	6184	9899
769	6188	9885
770	6210	9900
771	6215	9887
772	6220	9874
773	6233	9874
774	6247	9874
775	6257	9870
776	6260	9854
777	6263	9838
778	6266	9821
779	6272	9810
780	6276	9797
781	6281	9783
782	6290	9777
783	6293	9761
784	6296	9745
785	6305	9738
786	6308	9723
787	6311	9707
788	6318	9698
789	6321	9681
790	6324	9666
791	6327	9650
792	6336	9644
793	6340	9629
794	6352	9628
795	6357	9616
796	6367	9611
797	6371	9596
798	6373	9580
799	6378	9568
800	6381	9553
801	6384	9537
802	6393	9530
803	6396	9515
804	6399	9500
805	6408	9494
806	6411	9478
807	6414	9462
808	6423	9457
809	6427	9442
810	6430	9427
811	6437	9418
812	6440	9404
813	6456	9406
814	6466	9401
815	6469	9386
816	6477	9379
817	6481	9365
818	6484	9350
819	6490	9339
820	6494	9327
821	6498	9312
822	6500	9296
823	6509	9289
824	6513	9277
825	6525	9274
826	6529	9261
827	6539	9256
828	6545	9245
829	6556	9242
830	6559	9226
831	6562	9213
832	6566	9199
833	6570	9185
834	6572	9170
835	6579	9161
836	6582	9146
837	6585	9131
838	6587	9115
839	6592	9103
840	6597	9092
841	6601	9078
842	6603	9063
843	6611	9055
844	6614	9041
845	6617	9026
846	6623	9015
847	6626	9001
848	6629	8987
849	6631	8972
850	6640	8965
851	6642	8950
852	6645	8935
853	6648	8921
854	6654	8911
855	6657	8897
856	6660	8882
857	6668	8876
858	6672	8863
859	6674	8848
860	6694	8856
861	6700	8845
862	6703	8831
863	6705	8817
864	6714	8809
865	6716	8795
866	6720	8782
867	6728	8774
868	6732	8761
869	6736	8750
870	6744	8742
871	6748	8729
872	6758	8724
873	6761	8711
874	6764	8696
875	6773	8690
876	6777	8678
877	6779	8663
878	6790	8659
879	6792	8645
880	6795	8630
881	6800	8619
882	6802	8605
883	6805	8591
884	6808	8577
885	6814	8568
886	6817	8554
887	6820	8540
888	6825	8529
889	6830	8518
890	6833	8504
891	6835	8490
892	6841	8480
893	6844	8467
894	6847	8454
895	6849	8439
896	6854	8428
897	6858	8416
898	6860	8402
899	6863	8388
900	6866	8375
901	6870	8363
902	6873	8350
903	6875	8336
904	6878	8322
905	6883	8311
906	6885	8297
907	6888	8284
908	6891	8270
909	6897	8261
910	6899	8247
911	6902	8234
912	6904	8220
913	6920	8222
914	6935	8224
915	6938	8211
916	6943	8199
917	6945	8186
918	6948	8173
919	6952	8161
920	6955	8149
921	6958	8135
922	6961	8122
923	6964	8110
924	6968	8098
925	6971	8085
926	6974	8072
927	6979	8062
928	6983	8050
929	6986	8037
930	6988	8024
931	6992	8013
932	6997	8002
933	6999	7988
934	7001	7975
935	7004	7962
936	7010	7952
937	7012	7939
938	7015	7927
939	7018	7914
940	7023	7904
941	7026	7891
942	7028	7878
943	7031	7865
944	7036	7855
945	7039	7843
946	7042	7830
947	7047	7820
948	7051	7809
949	7053	7796
950	7056	7783
951	7060	7772
952	7064	7761
953	7067	7749
954	7069	7736
955	7072	7723
956	7078	7714
957	7081	7701
958	7083	7689
959	7088	7679
960	7093	7668
961	7095	7656
962	7097	7643
963	7100	7631
964	7105	7620
965	7108	7608
966	7111	7596
967	7118	7589
968	7124	7580
969	7133	7574
970	7137	7563
971	7147	7559
972	7150	7547
973	7153	7534
974	7157	7524
975	7160	7512
976	7163	7500
977	7166	7488
978	7168	7475
979	7174	7467
980	7177	7455
981	7179	7442
982	7181	7430
983	7188	7422
984	7191	7410
985	7193	7398
986	7195	7385
987	7201	7376
988	7204	7364
989	7207	7352
990	7209	7340
991	7213	7330
992	7218	7320
993	7221	7308
994	7223	7296
995	7225	7284
996	7232	7275
997	7234	7263
998	7237	7251
999	7242	7242
1000	7248	7234
1001	7251	7222
1002	7256	7213
1003	7259	7202
1004	7262	7190
1005	7265	7178
1006	7276	7174
1007	7278	7162
1008	7280	7150
1009	7287	7143
1010	7290	7132
1011	7292	7120
1012	7295	7107
1013	7302	7100
1014	7304	7088
1015	7306	7076
1016	7308	7064
1017	7314	7055
1018	7317	7045
1019	7320	7033
1020	7322	7021
1021	7329	7013
1022	7332	7002
1023	7334	6990
1024	7336	6978
1025	7338	6966
1026	7343	6957
