iter	RMSE
0	76.38781826
1	76.34595571
2	76.30076495
3	76.2770476
4	76.23063937
5	76.18731986
6	76.13128625
7	76.07230884
8	76.02487658
9	76.00719777
10	75.96917159
11	75.91644895
12	75.87223086
13	75.79894077
14	75.68962808
15	75.60665799
16	75.55746176
17	75.50615714
18	75.47071366
19	75.44033908
20	75.39269243
21	75.33120414
22	75.23329604
23	75.11891588
24	75.07356114
25	74.9915812
26	74.9305767
27	74.89042711
28	74.81740012
29	74.78423321
30	74.73987744
31	74.68828618
32	74.6520891
33	74.63467643
34	74.54922284
35	74.47822452
36	74.44873035
37	74.38021218
38	74.31893588
39	74.26139917
40	74.20176678
41	74.14709723
42	74.08104356
43	74.01100929
44	73.96123162
45	73.89998645
46	73.80639434
47	73.76024083
48	73.72885568
49	73.67175315
50	73.62327488
51	73.52848115
52	73.46719987
53	73.43323843
54	73.33887954
55	73.31120247
56	73.22719933
57	73.17531029
58	73.12024702
59	73.04204277
60	73.01687262
61	72.99662083
62	72.95344286
63	72.89552105
64	72.79739414
65	72.79133948
66	72.70391889
67	72.60511318
68	72.55623304
69	72.52837973
70	72.44534871
71	72.38204999
72	72.35506208
73	72.30759501
74	72.23698521
75	72.17353939
76	72.1445871
77	72.13821439
78	72.06213164
79	72.00836336
80	71.95014155
81	71.91061377
82	71.87274497
83	71.82016919
84	71.76351425
85	71.69799432
86	71.65066663
87	71.58049602
88	71.54691817
89	71.51720772
90	71.43904187
91	71.38659419
92	71.33006766
93	71.30340192
94	71.27620923
95	71.20956744
96	71.14482028
97	71.1097951
98	71.07551441
99	71.03042935
100	70.98964371
101	70.9342312
102	70.84991133
103	70.80897098
104	70.79669337
105	70.71455728
106	70.65320432
107	70.61607466
108	70.61066305
109	70.58070877
110	70.5115176
111	70.48755461
112	70.44941711
113	70.39993294
114	70.33192776
115	70.29758946
116	70.25701905
117	70.22838088
118	70.19554232
119	70.1513061
120	70.12407829
121	70.05837801
122	70.01945611
123	69.97404591
124	69.93965546
125	69.84081418
126	69.82025634
127	69.77566766
128	69.72815295
129	69.63846338
130	69.58501069
131	69.53106659
132	69.46009734
133	69.43417983
134	69.39303784
135	69.3201828
136	69.24538662
137	69.22008984
138	69.20234545
139	69.11381882
140	69.07121213
141	68.99702589
142	68.97098073
143	68.92373283
144	68.86251537
145	68.83044557
146	68.79822708
147	68.78619558
148	68.75118472
149	68.729684
150	68.65607982
151	68.61573649
152	68.57198394
153	68.55364195
154	68.49450849
155	68.4671243
156	68.4229823
157	68.36583188
158	68.35555999
159	68.29604487
160	68.26404318
161	68.23113178
162	68.17321423
163	68.14670357
164	68.08683364
165	68.04212451
166	68.02903542
167	67.95237303
168	67.90547019
169	67.87195185
170	67.86174576
171	67.83051314
172	67.79203118
173	67.7726258
174	67.75966806
175	67.70118546
176	67.63845331
177	67.57920209
178	67.54130594
179	67.51230825
180	67.50640183
181	67.45077461
182	67.41608477
183	67.37938564
184	67.33286999
185	67.3091823
186	67.28337378
187	67.24826429
188	67.19378698
189	67.17390689
190	67.14764832
191	67.07038623
192	67.03261641
193	66.98390758
194	66.94120351
195	66.93331436
196	66.92469583
197	66.86315223
198	66.82472366
199	66.80399552
200	66.78935379
201	66.74777508
202	66.70956156
203	66.6692468
204	66.63161078
205	66.59987197
206	66.55292165
207	66.53326455
208	66.49691453
209	66.41758732
210	66.39024553
211	66.36371734
212	66.30299892
213	66.28093059
214	66.23713394
215	66.19615083
216	66.16347599
217	66.13267774
218	66.11362172
219	66.10070959
220	66.02134161
221	65.99637775
222	65.97066679
223	65.94377163
224	65.86951277
225	65.84316374
226	65.79473227
227	65.74698482
228	65.73388003
229	65.71803817
230	65.67382509
231	65.640803
232	65.59868772
233	65.58655232
234	65.55211354
235	65.49667934
236	65.46336287
237	65.4295715
238	65.40680417
239	65.35213682
240	65.31921474
241	65.27228917
242	65.24193718
243	65.23045512
244	65.20743723
245	65.16788915
246	65.12460587
247	65.07571358
248	65.04526561
249	65.00665134
250	64.96276696
251	64.90876692
252	64.84495466
253	64.81418343
254	64.7834575
255	64.73998315
256	64.67364845
257	64.63566674
258	64.60878174
259	64.55812698
260	64.52791493
261	64.46989318
262	64.41561561
263	64.39014403
264	64.33026118
265	64.31451045
266	64.30557945
267	64.24362219
268	64.19920946
269	64.1534489
270	64.13108383
271	64.05580257
272	64.0322803
273	63.99257664
274	63.93468468
275	63.87132798
276	63.83630223
277	63.80720285
278	63.76428569
279	63.66639251
280	63.61714256
281	63.58506549
282	63.51305872
283	63.46571185
284	63.39632904
285	63.3639278
286	63.33331121
287	63.27981698
